player,player_link,mp_per_g,trb_per_g,pts_per_g,ast_per_g
Patrick Williams,https://www.basketball-reference.com/players/w/willipa01.html,22.5,4.0,9.2,1.0
Isaac Okoro,https://www.basketball-reference.com/players/o/okorois01.html,31.5,4.4,12.9,2.0
Onyeka Okongwu,https://www.basketball-reference.com/players/o/okongon01.html,30.6,8.6,16.2,1.1
Obi Toppin,https://www.basketball-reference.com/players/t/toppiob01.html,29.0,6.6,17.1,2.0
Jalen Smith,https://www.basketball-reference.com/players/s/smithja04.html,28.9,8.6,13.5,0.8
Devin Vassell,https://www.basketball-reference.com/players/v/vassede01.html,19.3,3.2,8.4,1.1
Tyrese Haliburton,https://www.basketball-reference.com/players/h/halibty01.html,34.6,4.4,10.1,4.7
Kira Lewis Jr.,https://www.basketball-reference.com/players/l/lewiski01.html,34.5,3.6,15.9,4.0
Aaron Nesmith,https://www.basketball-reference.com/players/n/nesmiaa01.html,31.0,5.3,14.7,1.3
Cole Anthony,https://www.basketball-reference.com/players/a/anthoco01.html,34.9,5.7,18.5,4.0
Isaiah Stewart,https://www.basketball-reference.com/players/s/stewais01.html,32.2,8.8,17.0,0.8
Josh Green,https://www.basketball-reference.com/players/g/greenjo02.html,30.9,4.6,12.0,2.6
Saddiq Bey,https://www.basketball-reference.com/players/b/beysa01.html,31.6,4.9,11.9,1.8
Precious Achiuwa,https://www.basketball-reference.com/players/a/achiupr01.html,30.4,10.8,15.8,1.0
Tyrese Maxey,https://www.basketball-reference.com/players/m/maxeyty01.html,34.5,4.3,14.0,3.2
Zeke Nnaji,https://www.basketball-reference.com/players/n/nnajize01.html,30.7,8.6,16.1,0.8
Immanuel Quickley,https://www.basketball-reference.com/players/q/quickim01.html,25.0,2.9,10.1,1.5
Payton Pritchard,https://www.basketball-reference.com/players/p/pritcpa01.html,33.7,3.8,13.5,4.6
Udoka Azubuike,https://www.basketball-reference.com/players/a/azubuud01.html,23.4,7.9,12.3,0.7
Jaden McDaniels,https://www.basketball-reference.com/players/m/mcdanja02.html,31.1,5.8,13.0,2.1
Malachi Flynn,https://www.basketball-reference.com/players/f/flynnma01.html,33.3,3.6,14.4,4.1
Desmond Bane,https://www.basketball-reference.com/players/b/banede01.html,30.3,4.7,12.7,2.4
Tyrell Terry,https://www.basketball-reference.com/players/t/terryty01.html,32.6,4.5,14.6,3.2
Vernon Carey Jr.,https://www.basketball-reference.com/players/c/careyve01.html,24.9,8.8,17.8,1.0
Daniel Oturu,https://www.basketball-reference.com/players/o/oturuda01.html,28.5,9.0,15.2,0.8
Xavier Tillman Sr.,https://www.basketball-reference.com/players/t/tillmxa01.html,21.3,6.6,8.7,1.6
Tyler Bey,https://www.basketball-reference.com/players/b/beyty01.html,25.0,8.1,11.2,0.9
Saben Lee,https://www.basketball-reference.com/players/l/leesa01.html,30.7,3.3,13.9,3.7
Elijah Hughes,https://www.basketball-reference.com/players/h/hugheel01.html,30.7,4.0,13.9,2.1
Robert Woodard II,https://www.basketball-reference.com/players/w/woodaro01.html,24.9,5.3,8.3,1.0
Tre Jones,https://www.basketball-reference.com/players/j/jonestr01.html,34.7,4.0,12.4,5.8
Nick Richards,https://www.basketball-reference.com/players/r/richani01.html,18.2,5.0,7.3,0.2
Jahmi'us Ramsey,https://www.basketball-reference.com/players/r/ramseja01.html,31.2,4.0,15.0,2.2
